,Name,# Repositories,Average stars score
225,bailicangdu,13,3503.54
18,kamranahmedse,44,2275.64
142,vinta,32,1830.44
117,mrdoob,35,1597.26
194,IanLunn,18,1402.06
44,sebastianbergmann,60,1388.53
230,junyanz,14,1373.07
153,nolimits4web,14,1338.93
195,ruanyf,53,1261.64
109,JakeWharton,100,1073.01
196,binux,20,855.7
208,gorhill,24,851.12
106,photonstorm,34,794.41
148,toddmotto,76,771.82
221,connors,14,643.86
21,kennethreitz,99,627.87
246,Unknwon,36,624.17
119,fzaninotto,44,538.64
111,krzysztofzablocki,38,503.13
65,mdo,40,481.75
181,jaywcjlove,74,476.77
228,amitshekhariitbhu,37,476.32
190,dennybritz,52,437.08
168,ded,26,437.0
29,mikepenz,55,420.11
27,steipete,44,401.61
167,Draveness,33,401.33
156,LeaVerou,61,388.87
212,daylerees,32,388.06
91,tj,269,363.67
114,mxcl,33,357.61
166,vczh,6,347.33
133,zenorocha,114,346.65
240,rtomayko,24,345.29
248,Shougo,63,343.75
187,CamDavidsonPilon,54,335.54
252,JohnSundell,49,322.04
220,overtrue,69,307.77
141,avelino,127,301.88
96,SamyPesse,73,300.56
189,winterbe,44,291.57
62,chjj,67,290.87
53,holman,51,285.82
28,ai,59,281.92
226,nikic,49,281.82
177,drakeet,23,258.57
92,jgm,73,236.67
200,anishathalye,57,225.23
164,yeasy,74,218.59
112,eduardolundgren,37,217.7
61,kylef,31,216.0
143,developit,272,211.09
147,onevcat,156,206.34
49,paulmillr,57,199.67
254,samuelclay,27,197.07
171,jendewalt,6,196.67
93,jverkoey,52,193.96
237,matyhtf,20,192.45
217,josephmisiti,194,191.55
151,ankane,187,190.68
132,BurntSushi,139,188.83
30,nvie,131,181.24
238,StephenGrider,86,177.72
56,buckyroberts,34,173.94
37,mitchellh,95,163.61
82,alexjlockwood,42,163.36
242,be5invis,51,162.25
137,bevacqua,290,155.2
4,HugoGiraudel,40,152.78
216,oldratlee,43,151.12
94,chenglou,142,144.94
78,feross,123,143.67
40,phodal,277,136.74
160,soffes,151,132.41
76,gaearon,229,131.77
198,leah,19,128.95
245,remy,239,126.83
103,notwaldorf,77,126.01
60,mgechev,242,125.75
222,eliben,37,119.57
88,rauchg,110,119.43
184,evilsocket,108,119.28
101,carpedm20,184,117.46
